Battle, Time, Player 1 Wins, Player 2 Wins
SimpleAI vs Simple AI,1.5355297469941434,4794,5206
SimpleAI vs MCTSAI,336.0906942350048,309,691
SimpleAI vs no UCB MCTSAI,417.39270032900095,318,682
SimpleAI vs Open Loop MCTSAI,278.33411756999703,310,690
MCTSAI vs MCTSAI,906.6697061559972,583,417
MCTSAI vs no UCB MCTSAI,973.2569417970008,615,385
MCTSAI vs Open Loop MCTSAI,879.213680107001,520,480
MCTSAI vs SimpleAI,498.7995550959968,726,274
no UCB MCTSAI vs MCTSAI,805.5732785620057,519,481
no UCB MCTSAI vs no UCB MCTSAI,908.4168765790018,528,472
no UCB MCTSAI vs Open Loop MCTSAI,772.5856715619957,478,522
no UCB MCTSAI vs SimpleAI,411.13438690500334,726,274
Open Loop MCTSAI vs MCTSAI,678.5101037490022,469,531
Open Loop MCTSAI vs no UCB MCTSAI,747.0576954200005,539,461
Open Loop MCTSAI vs Open Loop MCTSAI,617.4624174120036,496,504
Open Loop MCTSAI vs SimpleAI,266.6308141289992,857,143
